GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,"7/711, 7/865",55/28905,0.127272727,"5.17414652857691, 4.2529689963216","4.92052625366104, 4.24117686234122","0.000385025729538018, 0.00121959226844494","0.00794503330051437, 0.0171582756569544","0.00638284110379064, 0.0134835476763468","17082/14728/14130/11846/12519/12269/240873, 17082/16197/14728/14130/20371/240873/12269",7,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0061037,negative regulation of cartilage development,"5/711, 6/865",33/28905,"0.151515151515152, 0.181818181818182","6.15969824830584, 6.07566999474514","4.70953757354932, 5.12400962147706","0.00119061096047208, 0.000391584983625793","0.0182532398658289, 0.00754122064777705","0.0146641965220486, 0.00592614375564832","13038/22402/20682/20378/108153, 13038/20378/22402/108153/239337/20682","5, 6","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050866,negative regulation of cell activation,"11/373, 18/711, 27/865",241/28905,"0.045643153526971, 0.0746887966804979, 0.112033195020747","3.53703847908068, 3.03639897053417, 3.7437219677164","4.52204063303994, 5.04125214107529, 7.51239210406032","0.000322855545022075, 3.28212059962089e-05, 4.63175218836477e-09","0.0246315157275379, 0.0012426393991956, 8.06096427152816e-07","0.0223056295675072, 0.000998305423573475, 6.33457570244975e-07","18782/100039795/83433/14990/240754/12578/93695/234199/217166/18784/12477, 18782/14990/100039795/14728/83433/14130/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/329731/234199, 18782/14990/100039795/83433/14728/12523/15507/217303/12578/14130/217166/93695/57916/208154/16184/242248/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","11, 18, 27","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0007162,negative regulation of cell adhesion,"26/711, 31/865",342/28905,"0.0760233918128655, 0.0906432748538012","3.09065561230784, 3.02895243890072","6.17630975496564, 6.62950394253865","4.5164297033003e-07, 5.32477437288392e-08","3.44991840845079e-05, 5.68661699504126e-06","2.77157819096341e-05, 4.46873409092746e-06","18782/21923/14990/100039795/17381/14728/17242/17390/12842/13035/11433/12578/93695/18784/11846/13844/16854/100043314/13131/386463/12519/16181/30060/240873/74591/234199, 18782/14990/100039795/18787/17381/14728/21923/15507/11433/217303/12578/93695/208154/12842/16184/13131/18784/17242/240754/16854/234199/16181/13035/100043314/12477/68396/20371/240873/15930/385643/30060","26, 31","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0010721,negative regulation of cell development,"17/711, 25/865",326/28905,"0.0521472392638037, 0.0766871165644172","2.11999430509177, 2.56259087201674","3.22950920800611, 4.98343263802295","0.0031800531339652, 1.93602562133911e-05","0.0349315751120313, 0.000659230753237135","0.0280631540500641, 0.000518045604855651","12774/12262/14728/83433/17242/18729/100038909/16000/12578/56710/13844/18722/20378/13131/18725/240873/16870, 12774/22418/83433/18729/100038909/14728/15507/12262/12578/217166/16000/18733/20378/13131/18722/17242/18725/56710/14168/22422/12477/20371/16870/100041146/240873","17, 25","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0022408,negative regulation of cell-cell adhesion,"18/711, 22/865",236/28905,"0.076271186440678, 0.0932203389830508","3.10072945719803, 3.11506809052611","5.14582818557194, 5.73023068224876","2.48579984807483e-05, 2.82940591158526e-06","0.0010307783370017, 0.000144084265666686","0.000828101543373702, 0.000113226241632315","18782/14990/100039795/14728/17242/13035/12578/93695/18784/11846/16854/100043314/386463/12519/16181/240873/74591/234199, 18782/14990/100039795/14728/15507/217303/12578/93695/208154/16184/18784/17242/240754/16854/234199/16181/13035/100043314/12477/20371/240873/15930","18, 22","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0032682,negative regulation of chemokine production,"5/711, 5/865",35/28905,0.142857143,"5.80771549125979, 4.77374071015689","4.5194419915098, 3.92356372393052","0.00156401718967477, 0.00365666761363549","0.0210827580304766, 0.035300594118314","0.0169373606690215, 0.0277403891459651","16193/14728/246730/81799/23960, 14728/16193/23960/246727/20186",5,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0001818,negative regulation of cytokine production,"20/711, 27/865",312/28905,"0.0641025641025641, 0.0865384615384615","2.60602618197555, 2.8917852378835","4.52934584161742, 5.90088689594851","0.000105215671777985, 9.45581700706895e-07","0.00293659637770095, 5.48554124891568e-05","0.00235918810606104, 4.31072203519141e-05","17082/16193/14728/83433/14130/16000/11433/93695/246730/57781/18173/19074/81799/11846/13844/23960/100043314/66889/16160/282663, 12490/17082/13388/83433/14728/16193/12523/11433/14130/20612/93695/16000/18173/79221/57781/66889/242248/22163/260315/23960/100043314/20371/246727/20186/19074/15930/16160","20, 27","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0001960,negative regulation of cytokine-mediated signaling pathway,"7/711, 9/865",83/28905,"0.0843373493975904, 0.108433734939759","3.42865131411723, 3.62344174385403","3.51866226089157, 4.20384250800019","0.00436761022637307, 0.000839436605487184","0.0438910051979063, 0.0132811872363107","0.0352609361682283, 0.0104368017439271","16193/17381/83433/246730/11846/23960/16181, 83433/17381/16193/16181/77772/23960/246727/20186/17940","7, 9","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050680,negative regulation of epithelial cell proliferation,"11/711, 14/865",169/28905,"0.0650887573964497, 0.0828402366863905","2.64611889246748, 2.76820467216199","3.40821372540247, 4.04912097166932","0.00320861804956206, 0.000589553778918637","0.0349315751120313, 0.010493610633101","0.0280631540500641, 0.00824623068758603","235505/12578/13386/333424/16682/13039/13983/20682/16160/12165/57277, 235505/22418/12578/333424/13039/106389/55948/13386/16682/57277/13983/20682/16160/12165","11, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002921,negative regulation of humoral immune response,"4/711, 4/865",19/28905,0.210526316,"8.55873861869864, 7.0349863097049","5.23380878289711, 4.62176021348512","0.00104805006779293, 0.00215584811668757","0.0169636059300015, 0.0257114982241495","0.0136281368627506, 0.0202049564342506","14130/17174/12269/13137, 14130/17174/232345/12269",4,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050777,negative regulation of immune response,"21/711, 21/865",241/28905,0.087136929,"3.54246546562319, 2.91178375266831","6.29405615384929, 5.23452060274525","6.43633552489629e-07, 1.3398389521916e-05","4.56196777620106e-05, 0.000507734131963573","3.66497084841915e-05, 0.000398994485932778","14990/17082/17381/14728/83433/14130/17174/12825/109648/15951/246730/380924/11846/16854/23960/16160/12519/12269/240873/381308/13137, 14990/17082/16197/83433/17381/14728/217303/14130/109648/15951/17174/16854/77772/232345/23960/380924/20371/246727/240873/12269/16160",21,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050728,negative regulation of inflammatory response,"15/711, 17/865",172/28905,"0.0872093023255814, 0.0988372093023256","3.54540771268767, 3.30276246807367","5.31699827814769, 5.3201135628035","2.48397587748735e-05, 1.74513273633625e-05","0.0010307783370017, 0.000622667581166957","0.000828101543373702, 0.00048931303966884","83433/14130/17242/16000/11433/109648/57781/18784/81799/19695/11486/16160/27052/329731/16678, 353187/83433/11433/14130/109648/217166/16000/27052/57781/16184/18784/17242/16678/20371/20186/237310/16160","15, 17","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002862,negative regulation of inflammatory response to antigenic stimulus,"4/711, 4/865",18/28905,0.222222222,"9.03422409751524, 7.42581888246628","5.41457532838543, 4.78973554689931","0.000843728759398081, 0.00174292903538874","0.0145201384127243, 0.0224384206501142","0.0116651161534422, 0.0176328624546321",83433/14130/109648/16160,4,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0032693,negative regulation of interleukin-10 production,"4/711, 8/865",22/28905,"0.181818181818182, 0.363636363636364","7.39163789796701, 12.1513399894903","4.76253061400708, 9.18999490752652","0.00186555343216362, 1.37216513120663e-07","0.0240314190640248, 1.32937623858681e-05","0.0193062412179374, 1.04466837176164e-05","14728/14130/19074/16160, 13388/14728/12523/14130/20371/19074/15930/16160","4, 8","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0071659,negative regulation of IP-10 production,"3/711, 3/865",11/28905,0.272727273,"11.0874568469505, 9.11350499211771","5.31385408955453, 4.72714625626397","0.00210978587789055, 0.00368105790976247","0.0263209390038265, 0.035300594118314","0.0211455842926566, 0.0277403891459651","14728/246730/23960, 14728/23960/246727",3,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002695,negative regulation of leukocyte activation,"10/373, 7/232, 17/711, 26/865",221/28905,"0.0452488687782805, 0.0316742081447964, 0.0769230769230769, 0.117647058823529","3.50648405371635, 3.94630597597129, 3.12723141837066, 3.93131587895274","4.2766972601837, 3.95494570704313, 5.04111315140045, 7.68310774970976","0.000639283845983428, 0.00213592866863528, 3.72067048580798e-05, 3.16886911695289e-09","0.0416599972965867, 0.0446765079856213, 0.00134945296485226, 5.95620639222466e-07","0.0377261585425747, 0.038409243602652, 0.0010841167715601, 4.68058646832453e-07","18782/100039795/14990/240754/12578/93695/234199/217166/18784/12477, 242248/15507/217166/11846/76747/12477/13035, 18782/14990/100039795/14728/14130/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/329731/234199, 18782/14990/100039795/14728/12523/15507/217303/12578/14130/217166/93695/57916/208154/16184/242248/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","10, 7, 17, 26","Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:1903038,negative regulation of leukocyte cell-cell adhesion,"9/373, 15/711, 21/865",179/28905,"0.0502793296089385, 0.0837988826815642, 0.11731843575419","3.89631105186694, 3.40676048369988, 3.92033454968192","4.44428008904693, 5.1292897956141, 6.88366247134558","0.000558793139602211, 3.95772035259874e-05, 1.07023438040818e-07","0.0371894668228876, 0.00138967051735604, 1.11756252300845e-05","0.033677767943327, 0.00111642654768129, 8.78218059993427e-06","18782/100039795/14990/240754/12578/93695/234199/18784/12477, 18782/14990/100039795/14728/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/234199, 18782/14990/100039795/14728/15507/217303/12578/93695/208154/16184/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","9, 15, 21","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:1902106,negative regulation of leukocyte differentiation,"9/711, 14/865",125/28905,"0.072, 0.112","2.92708860759494, 3.74261271676301","3.42883607241414, 5.39724484815928","0.00381921249430469, 2.35833609447608e-05","0.0395925028576253, 0.000764263538478834","0.0318076268635952, 0.000600583885257502","12262/14728/17242/18729/100038909/12578/18722/18725/240873, 18729/100038909/14728/15507/12262/12578/18733/18722/17242/18725/12477/20371/100041146/240873","9, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0070664,negative regulation of leukocyte proliferation,"10/711, 15/865",128/28905,"0.078125, 0.1171875","3.1760944092827, 3.91595917630058","3.91827927042622, 5.80713188456616","0.00128011633538128, 6.99710633921014e-06","0.0191533557534367, 0.0003044389137773","0.0153873271205353, 0.000239238294716853","18782/14990/14728/14130/12578/93695/18784/11846/20293/12519, 18782/14990/14728/217303/12578/14130/93695/57916/208154/16184/18784/12477/20371/15930/20293","10, 15","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0051250,negative regulation of lymphocyte activation,"16/711, 24/865",197/28905,"0.0812182741116751, 0.121827411167513","3.30184840112232, 4.07100730612365","5.14806224150397, 7.59644709074023","3.24432613473164e-05, 6.35317132116957e-09","0.0012426393991956, 9.95118401272526e-07","0.000998305423573475, 7.81997368233784e-07","18782/14990/100039795/14728/14130/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/234199, 18782/14990/100039795/14728/15507/217303/12578/14130/93695/57916/208154/16184/242248/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","16, 24","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050672,negative regulation of lymphocyte proliferation,"9/711, 14/865",120/28905,"0.075, 0.116666666666667","3.04905063291139, 3.8985549132948","3.57186982782778, 5.58839457022225","0.00290809670033512, 1.47882208952623e-05","0.0332332100610475, 0.000551506745927282","0.0266987300323625, 0.000433392472018213","18782/14990/14728/14130/12578/93695/18784/11846/12519, 18782/14990/14728/217303/12578/14130/93695/57916/208154/16184/18784/12477/20371/15930","9, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0032945,negative regulation of mononuclear cell proliferation,"9/711, 14/865",122/28905,"0.0737704918032787, 0.114754098360656","2.99906619630629, 3.83464417701128","3.51377937130094, 5.51072147165976","0.00324926226926336, 1.78793237002783e-05","0.0349315751120313, 0.000626977179609015","0.0280631540500641, 0.000492699666461716","18782/14990/14728/14130/12578/93695/18784/11846/12519, 18782/14990/14728/217303/12578/14130/93695/57916/208154/16184/18784/12477/20371/15930","9, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050868,negative regulation of T cell activation,"9/373, 15/711, 21/865",162/28905,"0.0555555555555556, 0.0925925925925926, 0.12962962962963","4.30518319928508, 3.76426004063135, 4.33172768143866","4.82341110410443, 5.60280854749429, 7.46894016676886","0.000269459529652363, 1.21781454811994e-05, 1.8569926481871e-08","0.0227802542906106, 0.000552329639845229, 2.35838066319762e-06","0.02062917764707, 0.000443727822741507, 1.85329451204562e-06","18782/100039795/14990/240754/12578/93695/234199/18784/12477, 18782/14990/100039795/14728/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/234199, 18782/14990/100039795/14728/15507/217303/12578/93695/208154/16184/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","9, 15, 21","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0042130,negative regulation of T cell proliferation,"8/711, 11/865",105/28905,"0.0761904761904762, 0.104761904761905","3.09744826200522, 3.50074318744839","3.41920460270332, 4.50884725822486","0.00443936015759363, 0.000312360137253157","0.0441300779136134, 0.00643763282873941","0.035453001210487, 0.00505890748607606","18782/14990/14728/12578/93695/18784/11846/12519, 18782/14990/14728/12578/93695/208154/16184/18784/12477/20371/15930","8, 11","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002675,positive regulation of acute inflammatory response,"5/373, 6/711",58/28905,"0.0862068965517241, 0.103448275862069","6.68045668854581, 4.20558707987778","4.95124258339326, 3.8806696621213","0.000910979218533145, 0.00296395535537481","0.0491300516477875, 0.0336069312950571","0.0444908362445135, 0.0269989683276055","14125/16016/14990/21926/16193, 14125/12774/14990/16193/19218/16016","5, 6","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,"14/711, 12/865",167/28905,"0.0838323353293413, 0.0718562874251497","3.40812046792491, 2.4011629919352","4.95614040596471, 3.18945623148821","7.06414232153757e-05, 0.00458850037626201","0.0021508584383199, 0.0417855877287891","0.0017279458913853, 0.0328365143205368","14125/14990/16193/83433/18173/16016/11486/16160/19368/19369/19370/56554/13137/379043, 14990/83433/14125/14128/16193/18173/56644/77777/56620/16016/20371/16160","14, 12","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050867,positive regulation of cell activation,"12/232, 29/865",421/28905,"0.0285035629453682, 0.0688836104513064","3.55127365058563, 2.30182746831793","4.74333723329565, 4.72598146005185","0.000167197845603166, 3.23883194182888e-05","0.0065346492233408, 0.000988264369782722","0.00561796221759221, 0.000776611240733816","12775/15002/380797/15505/15519/12575/56792/11486/13655/72049/22163/12335, 14990/17082/16197/22418/83433/14728/16019/15519/14219/16193/15505/13655/16000/20344/217304/16184/380797/56644/17242/20296/77777/381091/22163/14724/17474/20371/21950/20533/16160","12, 29","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
GO:0022409,positive regulation of cell-cell adhesion,"19/711, 24/865",349/28905,"0.0544412607449857, 0.0687679083094556","2.21325547374657, 2.29796114414429","3.6211933415365, 4.28473277733139","0.00114962927392875, 0.000154489253618222","0.0180703460602375, 0.00365373298466335","0.0145172642115343, 0.00287122575020419","12774/14990/16193/14728/20339/20344/20296/17242/19204/16000/13035/16414/55985/11486/16160/12519/15117/13137/26887, 14990/12774/16197/22418/14728/15519/16193/15505/19204/13655/16414/16000/20344/16184/20339/17242/20296/381091/13035/20371/21950/20533/16160/26887","19, 24","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002699,positive regulation of immune effector process,"13/373, 25/711, 24/865",315/28905,"0.0412698412698413, 0.0793650793650794, 0.0761904761904762","3.19813609089748, 3.22650860625544, 2.54599504541701","4.48507860314481, 6.30968973544859, 4.84567542118803","0.000254751333399556, 3.36866921653556e-07, 3.131495862233e-05","0.0221350603020503, 2.76739354128223e-05, 0.000965274519701848","0.0200449075490704, 2.22325477786448e-05, 0.000758545046564013","69816/14126/14125/16016/83433/14990/22163/100689/21926/18784/20296/16193/230899, 14125/14990/14126/21687/16193/14728/83433/20296/19204/16414/18784/69816/11846/13844/67313/16016/16160/68891/19368/19369/19370/56554/237625/13137/379043, 14990/21687/22418/83433/14126/14728/14125/14128/16193/19204/16414/217303/69816/100689/56644/18784/234311/20296/77777/22163/16016/20371/68891/16160","13, 25, 24","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050729,positive regulation of inflammatory response,"18/711, 19/865",167/28905,"0.107784431137725, 0.11377245508982","4.38186917304631, 3.80184140389741","6.960207630586, 6.37780941741824","1.78223642654158e-07, 6.89130552305006e-07","1.61663695857542e-05, 4.49794383928056e-05","1.29876571171002e-05, 3.53463491407941e-05","14125/12774/14990/17082/16193/83433/17242/22402/18413/19218/16016/20302/207728/240873/329731/20617/237625/50905, 14990/17082/12774/18787/22418/83433/14125/16193/22402/17242/637515/207728/18413/19218/16016/240873/50905/15930/20202","18, 19","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002696,positive regulation of leukocyte activation,"11/232, 26/865",397/28905,"0.0277078085642317, 0.0654911838790932","3.45213020064275, 2.18846551447999","4.42529068805143, 4.18790176626655","0.000395357778038052, 0.00018265775510338","0.0129950336328936, 0.00414641928130813","0.0111720775623535, 0.00325839514316123","12775/15002/380797/15505/15519/12575/56792/11486/13655/72049/22163, 14990/17082/16197/22418/83433/14728/16019/15519/16193/15505/13655/16000/217304/16184/380797/56644/17242/20296/77777/381091/22163/17474/20371/21950/20533/16160","11, 26","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
GO:1904996,positive regulation of leukocyte adhesion to vascular endothelial cell,"7/711, 7/865",27/28905,0.259259259,"10.5399281137678, 8.66345536287733","7.8755130443132, 6.99714673617751","3.05900793199163e-06, 1.10339221160636e-05","0.000170755391485789, 0.000435700840532631","0.000137180612118869, 0.000342388312986743","16193/20339/20344/17242/19204/16414/26887, 16193/19204/16414/20344/20339/17242/26887",7,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:1903039,positive regulation of leukocyte cell-cell adhesion,"16/711, 21/865",298/28905,"0.0536912751677852, 0.0704697986577181","2.18276555376207, 2.35483182682236","3.25916290663433, 4.12909987422139","0.00312306370198228, 0.000280657802368661","0.0345122318741899, 0.00594059015013665","0.0277262641776305, 0.00466831470227246","14990/16193/14728/20339/20344/20296/17242/19204/16000/16414/11486/16160/12519/15117/13137/26887, 14990/16197/14728/15519/16193/15505/19204/13655/16414/16000/20344/16184/20339/17242/20296/381091/20371/21950/20533/16160/26887","16, 21","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0043302,positive regulation of leukocyte degranulation,"6/711, 5/865",37/28905,"0.162162162162162, 0.135135135135135","6.59254190899761, 4.51570067177004","5.40551638282626, 3.75839506385833","0.000263127297585436, 0.00467493504733269","0.00593604276521756, 0.0422349439213762","0.00476886833856779, 0.0331896334665131","14125/14126/19204/16414/68891/237625, 14126/14125/19204/16414/68891","6, 5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002705,positive regulation of leukocyte mediated immunity,"17/711, 14/865",196/28905,"0.086734693877551, 0.0714285714285714","3.5261129768363, 2.38687035507845","5.63517230442594, 3.42178636515308","7.8460072967364e-06, 0.00243433918348138","0.000375401272197695, 0.0281234136277433","0.000301587995917352, 0.0221003203382856","14125/14990/16193/83433/20296/19204/16414/11846/16016/16160/68891/19368/19369/19370/56554/13137/379043, 14990/83433/14125/14128/16193/19204/16414/56644/20296/77777/16016/20371/68891/16160","17, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002687,positive regulation of leukocyte migration,"19/711, 18/865",179/28905,"0.106145251396648, 0.100558659217877","4.31522994601985, 3.36028675687022","7.06542061306104, 5.563546605183","1.0421407676254e-07, 7.84547950726225e-06","1.10670265908317e-05, 0.000335144620042048","8.89097245396459e-06, 0.000263367867095464","12267/114332/83433/20339/20344/15945/20296/84094/17242/19204/55985/20306/19218/12061/16854/53416/20293/21336/240873, 114332/12267/18787/22418/83433/84094/19204/20344/20339/12061/17242/20296/15945/19218/16854/240873/20293/20306","19, 18","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:1903238,positive regulation of leukocyte tethering or rolling,"4/711, 4/865",15/28905,0.266666667,"10.8410689170183, 8.91098265895954","6.05409956074971, 5.3827017231437","0.000399123874481504, 0.000835083288904513","0.00804530254394662, 0.0132622254249742","0.00646339490693002, 0.0104219009175098","20339/20344/19204/26887, 19204/20344/20339/26887",4,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0051251,positive regulation of lymphocyte activation,"10/232, 21/865",360/28905,"0.0277777777777778, 0.0583333333333333","3.46084770114942, 1.9492774566474","4.2262712034965, 3.18329888758504","0.000708146396866388, 0.00301491648305175","0.0197494161792737, 0.0321249264259868","0.0169789486967964, 0.0252448431138455","12775/15002/380797/15505/15519/12575/11486/13655/72049/22163, 14990/16197/14728/16019/15519/16193/15505/13655/16000/16184/380797/56644/17242/20296/77777/381091/22163/20371/21950/20533/16160","10, 21","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
GO:1905523,positive regulation of macrophage migration,"5/711, 5/865",31/28905,0.161290323,"6.55709813529332, 5.38970725340295","4.91598856538225, 4.29497808914083","0.000887578493633234, 0.0021116790001551","0.0149787471367407, 0.0256402574204879","0.0120335509357129, 0.0201489730247357","12267/83433/20296/17242/240873, 12267/83433/17242/20296/240873",5,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
